ContactID,FirstName,LastName,Email,Phone,Company,Department,Country,DateAdded
C001,Ruth,Griffiths,  ruth.griffiths@NORTHBRIDGE.CO.UK,(756) 621-7548,Mills PLC,finance,Germany,2023-12-06 00:00:00
C002,Mary,Higgins,mary.higgins@northbridge.co.uk,+44 360 145 8144,Richards-Hudson,LEGAL,Ireland,2024-06-16 00:00:00
C003,Francesca,Harrison,francesca.harrison@outlook.com,0421 779 3041,Apex Services,finance,NETHERLANDS,2024-06-03 00:00:00
C004,Maurice,White,maurice.white@gmail.com,(682) 408-7653,Jones Group,marketing,Netherlands,2023-01-01 00:00:00
C005,Sarah,baker,SARAH.BAKER@gmail.com,+44 779 748 6491,"Newton, Anderson and Davies  ",finance,Netherlands,2023-08-29 00:00:00
C006,Billy,NORtOn,billy.norton@gmail.com,+44 509 349 3417,Davies-Dunn,OPERATIONS,france,2023-04-20 00:00:00
C007,Jason,Davis,jason.davis@northbridge.co.uk,0044 950 661 8305,"Newton, Anderson and Davies",legal,France,2024-05-01 00:00:00
C008,owen,kelly,  owen.kelly@business.com,0340 378 6502,Fleming Group,Sales,GERMANY,2024-07-07 00:00:00
C009,Duncan,Humphries,duncan.humphries@northbridge.co.uk,+449778837232,"Brennan, Taylor and George",legal,UNITED KINGDOM,2023-01-07 00:00:00
C010,William,Wilson,WILLIAM.WILSON@BUSINESS.COM,0597 129 7371,TechVenture Ltd,finance,france,2024-11-15 00:00:00
C011,Guy,Kelly,guy.kelly@company.co.uk,0044 238 987 8564,Murphy-Tomlinson,SALES,FRANCE,2023-02-21 00:00:00
C012,Louis,Morris,louis.morris@northbridge.co.uk,0867 652 1853,Reed-Roberts,Operations,UNITED KINGDOM,2023-08-18 00:00:00
C013,NATASHA,Hughes,NATASHA.HUGHES@northbridge.co.uk,0677 323 8619,"Leach, Clarke and Robinson",OPERATIONS,UK,2024-01-13 00:00:00
C014,Philip,Cooper,philip.cooper@northbridge.co.uk   ,+44 706 807 4978,"Jones, Sutton and Williams",marketing,united kingdom,2024-12-14
C015,Vincent,Read,vincent.read@gmail.com,+44 969 530 9031,"Lloyd, Ford and Douglas",finance,united kingdom,2024-03-19 00:00:00
C016,Antony,BuckLey,ANTONY.BUCKLEY@gmail.com,0576 546 5397,Davies-Dunn,LEGAL,france,2023.09.09
C017,Carl,Patel,carl.patel@business.com,(837) 516-9004,Blue Wave Industries,SALES,ireland,2023-09-04 00:00:00
C018,Jack,Griffiths,JACK.GRIFFITHS@business.com,0584 666 9698,Ahmed and Sons,Legal,germany,2024-03-11 00:00:00
C019,Kirsty,May,KIRSTY.MAY@NORTHBRIDGE.CO.UK,0321 856 8933,"Moran, Marshall and Dawson",marketing,ireland,2024.08.26
C020,Katy,Jones,katy.jones@business.com,+443998143068,"Moran, Marshall and Dawson",SALES,NETHERLANDS,2023.04.16
